Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_90	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Vogesella	Unclassified
ASV_87	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unclassified
ASV_91	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Unclassified	Unclassified
ASV_97	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ideonella	Unclassified
ASV_92	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Unclassified	Unclassified	Unclassified
ASV_96	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacterineae	Anaeromyxobacteraceae	Unclassified
ASV_95	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Novosphingobium	Unclassified
ASV_106	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Cryobacterium	Unclassified
ASV_109	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Uliginosibacterium	Unclassified
ASV_111	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Vogesella	Unclassified
ASV_107	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Unclassified
ASV_110	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_IncertaeSedisXII	Exiguobacterium	Unclassified
ASV_99	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylosinus	Unclassified
ASV_115	Bacteria	Proteobacteria	Betaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
ASV_125	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Aromatoleum	Unclassified
ASV_117	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Unclassified	Unclassified
ASV_128	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Azonexaceae	Azonexus	Unclassified
ASV_127	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Unclassified
ASV_129	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Zoogloea	Unclassified
ASV_112	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azospira	Unclassified
ASV_142	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	Unclassified	Unclassified
ASV_140	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Piscinibacter	Unclassified
ASV_136	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacterineae	Anaeromyxobacteraceae	Unclassified
ASV_116	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Steroidobacteraceae	Unclassified	Unclassified
ASV_143	Bacteria	Proteobacteria	Betaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
ASV_119	Bacteria	Proteobacteria	Betaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
ASV_113	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Unclassified
ASV_122	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unclassified
ASV_141	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Steroidobacteraceae	Unclassified	Unclassified
ASV_134	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Unclassified	Unclassified	Unclassified
ASV_123	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Thiobacillaceae	Thiobacillus	Unclassified
ASV_144	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Gallionellaceae	Sideroxydans	Unclassified
ASV_120	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Unclassified	Unclassified
ASV_118	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Novosphingobium	Unclassified
ASV_126	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Azonexaceae	Unclassified	Unclassified
ASV_124	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Unclassified
ASV_130	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylobacillus	Unclassified
ASV_135	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Uliginosibacterium	Unclassified
ASV_133	Bacteria	Proteobacteria	Betaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
ASV_132	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Unclassified	Unclassified
ASV_131	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcus	Unclassified
ASV_139	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unclassified	Unclassified
ASV_146	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Ancalomicrobiaceae	Ancalomicrobium	Unclassified
ASV_137	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Unclassified
ASV_138	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Novosphingobium	Unclassified
ASV_147	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Unclassified	Unclassified
ASV_149	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Unclassified
ASV_145	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ideonella	Unclassified
ASV_150	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacterineae	Anaeromyxobacteraceae	Unclassified
ASV_148	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilinea	Unclassified
ASV_151	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Ilumatobacter	Unclassified
ASV_153	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Unclassified
ASV_154	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Unclassified
ASV_163	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae1	Clostridiumsensustricto	Unclassified
ASV_161	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Unclassified	Unclassified	Unclassified
ASV_157	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacterineae	Unclassified	Unclassified
ASV_152	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Unclassified	Unclassified	Unclassified
ASV_155	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unclassified	Unclassified	Unclassified
ASV_164	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylocystis	Unclassified
ASV_159	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Williamwhitmaniaceae	Acetobacteroides	Unclassified
ASV_158	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	Unclassified	Unclassified
ASV_156	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unclassified
ASV_175	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Unclassified
ASV_179	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Unclassified	Unclassified	Unclassified
ASV_170	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Tolumonas	Unclassified
ASV_167	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	Unclassified	Unclassified
ASV_180	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unclassified	Unclassified
ASV_182	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Steroidobacteraceae	Povalibacter	Unclassified
ASV_165	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Thermodesulfovibrio	Unclassified
ASV_160	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Unclassified
ASV_166	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unclassified	Unclassified	Unclassified
ASV_162	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Unclassified
ASV_172	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae1	Clostridiumsensustricto	Unclassified
ASV_168	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Georgfuchsia	Unclassified
ASV_169	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcus	Unclassified
ASV_174	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Gallionellaceae	Unclassified	Unclassified
ASV_173	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylocaldum	Unclassified
ASV_171	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae1	Clostridiumsensustricto	Unclassified
ASV_186	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unclassified
ASV_176	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Thiobacillaceae	Thiobacillus	Unclassified
ASV_185	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Unclassified
ASV_188	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Hypnocyclicus	Unclassified
ASV_181	Bacteria	Proteobacteria	Betaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
ASV_184	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_IncertaeSedisXII	Exiguobacterium	Unclassified
ASV_178	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Unclassified
ASV_198	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
ASV_189	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacterineae	Anaeromyxobacteraceae	Unclassified
ASV_183	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Azonexaceae	Dechloromonas	Unclassified
ASV_197	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Unclassified
ASV_200	Bacteria	Actinobacteria	Actinobacteria	Unclassified	Unclassified	Unclassified	Unclassified
ASV_187	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Unclassified
ASV_201	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Propionivibrio	Unclassified
ASV_192	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Unclassified	Unclassified	Unclassified
ASV_202	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Unclassified
ASV_206	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Leptospiraceae	Leptonema	Unclassified
ASV_199	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unclassified	Unclassified	Unclassified
ASV_194	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Unclassified
ASV_196	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	Unclassified	Unclassified
ASV_190	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unclassified
ASV_191	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Phycicoccus	Unclassified
ASV_193	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Unclassified	Unclassified
ASV_213	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Unclassified	Unclassified	Unclassified
ASV_224	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Pelobacter	Unclassified
ASV_210	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Unclassified	Unclassified	Unclassified
ASV_216	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacterineae	Anaeromyxobacteraceae	Unclassified
ASV_205	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Propionivibrio	Unclassified
ASV_203	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unclassified	Unclassified
ASV_222	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Denitratisoma	Unclassified
ASV_204	Bacteria	Firmicutes	Clostridia	Clostridiales	Unclassified	Unclassified	Unclassified
ASV_215	Bacteria	Actinobacteria	Actinobacteria	Unclassified	Unclassified	Unclassified	Unclassified
ASV_225	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Sphaerotilus	Unclassified
ASV_227	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Unclassified
ASV_208	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Unclassified
ASV_228	Bacteria	Actinobacteria	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Unclassified
ASV_209	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Vogesella	Unclassified
ASV_207	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unclassified	Unclassified	Unclassified
ASV_231	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Unclassified
ASV_233	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Unclassified
ASV_232	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Vogesella	Unclassified
ASV_211	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Boseaceae	Bosea	Unclassified
ASV_235	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	Unclassified	Unclassified
ASV_212	Bacteria	Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
ASV_214	Bacteria	Actinobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
ASV_223	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Unclassified
ASV_238	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	Tangfeifania	Unclassified
ASV_220	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Unclassified	Unclassified	Unclassified
ASV_229	Bacteria	Proteobacteria	Betaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
ASV_226	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Unclassified
ASV_241	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Unclassified
ASV_242	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Unclassified
ASV_240	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Paludibacteraceae	Paludibacter	Unclassified
ASV_243	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Unclassified
ASV_246	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Raoultibacter	Unclassified
ASV_249	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae1	Clostridiumsensustricto	Unclassified
ASV_252	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Pelobacter	Unclassified
