NipWtLsR01	NipWtLsR02	NipWtLsR03	NipWtLsR04	NipWtLsR05	NipWtLsR06	NipWtLsR07	NipWtLsR08	NipWtLsR09	NipWtLsR10	NipWtLsR11	NipWtLsR12	NipWtLsR13	NipWtLsR14	NipWtLsR15	DjWtLsR01	DjWtLsR02	DjWtLsR03	DjWtLsR04	DjWtLsR05	DjWtLsR06	DjWtLsR07	DjWtLsR08	DjWtLsR09	DjWtLsR10	DjWtLsR11	DjWtLsR12	DjWtLsR13	DjWtLsR14	DjWtLsR15	Zh11WtLsR01	Zh11WtLsR02	Zh11WtLsR03	Zh11WtLsR04	Zh11WtLsR05	Zh11WtLsR06	Zh11WtLsR07	Zh11WtLsR08	Zh11WtLsR09	Zh11WtLsR10	Zh11WtLsR11	Zh11WtLsR12	Zh11WtLsR13	Zh11WtLsR14	Zh11WtLsR15
ASV_245	0.10639713	0.1016448	0.02774333	0.06206362	0.02854441	0.23002138	0.05806117	0.05056379	0.03367839	0.08457953	0.02408354	0.04387001	0.04070076	0.02857575	0.0503846	0.11584477	0.38797108	0.09317349	0.03734186	0.09615385	0.25601356	0.11935209	0.03285922	0.02261932	0.030155	0.03390022	0.02592999	0.05999032	0.01731332	0.03979157	0.07708216	0.14615947	0.15548945	0.0875798	0.13411134	0.08278831	0.11768944	0.0356533	0.07337491	0.14586742	0.12992205	0.1147659	0.25023107	0.30907261	0.0867211
ASV_124	0.05153611	0.02032896	0.02774333	0.01034394	0.03032844	0.03054972	0.0311042	0.01348368	0.02481566	0.02339434	0.09977465	0.13161003	0.03716156	0.01344741	0.00503846	0.12383406	0.02914337	0.02691679	0	0.02884615	0.01657642	0.05754476	0.03990048	0.06974289	0.00804133	0.06403375	0.03989229	0.03289792	0.02596998	0.03789673	0.08836247	0.08461864	0.04957635	0.00691419	0.05882076	0.00206971	0.03842921	0.08256554	0.03168462	0.04927953	0.02598441	0.01556148	0.01578034	0.00706452	0.06979991
ASV_457	0.00664982	0.01108852	0.05222273	0.05516766	0.03746454	0.01617338	0.13063764	0.07584568	0.05140386	0.08277997	0.01720253	0.03374616	0.00707839	0.42695534	0.0251923	0.06191703	0.0091073	0.59423981	1.11876204	0.04166667	0.53965447	0.02983802	0.02112379	0.03015909	0.08443399	0.18456787	0.09773611	0.01935172	0.20429717	0.09284699	0.15980447	0.02307781	0.2276005	0.81817972	0.47056609	0.3994536	0.87906809	0.06192415	0.31851382	0.17543514	1.65100939	0.45906359	0.3516761	0.07594355	0.12690892
ASV_400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1519	0	0	0	0	0	0	0	0	0	0	0.00172025	0	0	0	0.00167949	0	0	0	0	0.00320513	0	0	0	0.00188494	0	0	0	0	0	0	0	0	0	0	0	0.00206971	0	0	0	0	0.0039976	0	0.00225433	0.00176613	0
ASV_455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00199732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1197	0.00166246	0.02032896	0.04895881	0.04482372	0.01784026	0.06469351	0.01451529	0.01011276	0.07621951	0.00179956	0.01548227	0.03037155	0.01415679	0.01344741	0.02687179	0.00998662	0.05646527	0.00621157	0.15235478	0.04487179	0.08288209	0.00852515	0.04459466	0.02450426	0.02211366	0.01130007	0.02194076	0	0.00346266	0.00189484	0.03008084	0.0038463	0.01126735	0.02074258	0.03529246	0.04553357	0.01441095	0.00938245	0.00667045	0.01576945	0.04397362	0.34235251	0.09017336	0.01766129	0.00634545
ASV_392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_204	0.05486102	0.08316393	0.05222273	0.03965175	0.01962428	0.09164915	0.11819596	0.02865281	0.04785876	0.02159477	0.01548227	0.02362231	0.01238719	0.01512834	0.05542306	0.067909	0.0182146	0.02691679	0.01045572	0.00641026	0.02026007	0.03836317	0.01408252	0.00753977	0.02814466	0.00941673	0.05784382	0.07934204	0.02077598	0.01894837	0.02256063	0.0076926	0.01126735	0	0.00705849	0.00620912	0.00480365	0.00375298	0.00166761	0.00394236	0.0039976	0.00389037	0.01127167	0.01589516	0.00846059
ASV_893	0	0	0.00163196	0.00172399	0.00178403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00160256	0	0	0	0	0.00402067	0.00188335	0	0	0	0	0	0	0	0	0	0.00206971	0	0.00187649	0	0	0	0	0.00450867	0	0
ASV_1191	0	0	0.00163196	0.00172399	0.00356805	0.00179704	0	0	0.00531764	0.00179956	0	0.00168731	0.0017696	0	0	0	0	0.00207052	0.00149367	0.00320513	0.00184182	0.00213129	0	0	0	0.01318342	0.00598384	0	0	0	0	0.00192315	0	0.00230473	0	0	0.00240183	0	0.00333522	0.00591354	0.0019988	0	0.00225433	0	0.00846059
ASV_2979	0	0	0	0	0	0	0.00207361	0.00168546	0	0	0	0	0	0	0	0	0	0.00207052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2487	0.02992419	0.05544262	0.06201449	0.0327558	0.0481687	0.02336155	0.04769311	0.02865281	0	0.00359913	0.01032152	0.04049539	0.03362237	0.03529946	0.04870512	0.02197056	0.03460775	0.04555148	0.21957012	0.06410256	0.0460456	0.0170503	0.08214805	0.04900852	0.05226866	0.03013353	0.04188691	0.00774069	0.00346266	0.00378967	0.107163	0.00192315	0.04957635	0.05761829	0.07529057	0.1055551	0.22577159	0.08631852	0.02167895	0.0315389	0.05196882	0.49018654	0.07664735	0.11656453	0.03807268
ASV_2852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_24355	0.04654874	0.00924044	0.02284744	0.01896388	0.01070415	0.01797042	0.03732504	0.0084273	0.00886273	0.01079739	0.00516076	0	0.01769598	0.03025668	0.00839743	0.01198394	0.01275022	0.03312835	0.00149367	0.01923077	0.01105094	0.00426257	0.00938835	0.0263892	0.01608266	0.04896698	0.00797846	0.01161103	0.02077598	0.01136902	0.01316037	0.01923151	0.01352082	0.00691419	0.00235283	0.01241825	0.00240183	0.00938245	0.02001134	0.01182709	0.01599041	0.02723259	0	0.00529839	0.01269089
ASV_197	0.01662455	0.00739235	0.01142372	0.00344798	0.00892013	0.0215645	0.01451529	0.00337092	0.00886273	0.00719826	0.01548227	0.01687308	0.00530879	0.01176649	0.01847435	0.00599197	0.01275022	0	0.01045572	0.00320513	0.00552547	0.00213129	0.00704126	0.00942472	0.00804133	0.00188335	0.00598384	0.00387034	0.01038799	0.00568451	0.00564016	0.00192315	0.00225347	0.00230473	0	0.00827883	0.0096073	0.00187649	0.00833806	0.00591354	0.0039976	0.00972592	0.00225433	0.01412903	0.0042303
ASV_286	0	0	0.00163196	0	0.0071361	0	0	0	0	0	0	0	0	0.00168093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00225347	0	0	0.00206971	0	0	0	0	0	0	0	0	0
ASV_2419	0.00332491	0.00184809	0.03916705	0.02241186	0.00356805	0.04492605	0.0311042	0.02696735	0.01240783	0.00179956	0.01376202	0.03205885	0.01238719	0	0.02351281	0.03994647	0.03460775	0.00621157	0.00149367	0.00801282	0.00552547	0.00852515	0.00234709	0	0.01005167	0.01130007	0.04388152	0	0.00173133	0.00189484	0.02632074	0.05961768	0.00901388	0	0.01176415	0.00620912	0.00240183	0	0.00166761	0.01379827	0.0079952	0	0.006763	0.02825807	0.00846059
ASV_484	0.00166246	0	0	0.00172399	0	0	0	0	0	0	0	0	0	0.00168093	0.00167949	0.00199732	0.00364292	0	0.00298735	0.00320513	0	0	0.00234709	0.00188494	0	0.00376669	0	0.00193517	0	0	0.00188005	0	0	0.00460946	0.00235283	0.00413942	0.00240183	0	0	0.00197118	0.01399161	0.00194518	0.00901734	0	0
ASV_1372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00234709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00166761	0	0	0	0	0	0
ASV_754	0.00664982	0.00924044	0.01142372	0.0155159	0.01070415	0.01976746	0.00414723	0.0084273	0.01595292	0.00539869	0.00344051	0.01012385	0.0035392	0.00840463	0.00503846	0.00798929	0	0.00621157	0	0.01121795	0.00368365	0.01065644	0.00469417	0.00188494	0.00804133	0.01130007	0.00199461	0.02515723	0.00173133	0.00568451	0.01128032	0.00961575	0.00676041	0.00230473	0.0235283	0.00413942	0	0.01688841	0.00333522	0.00985591	0.0039976	0.00389037	0.00901734	0.01589516	0.00211515
ASV_873	0	0	0.00163196	0.00172399	0.00892013	0	0	0	0	0	0	0	0	0.00168093	0	0	0	0.00207052	0	0.00160256	0	0.00426257	0	0	0	0.00941673	0	0	0	0.00189484	0	0.00192315	0	0	0	0.00620912	0	0	0	0	0	0	0	0	0
ASV_453	0	0.00184809	0.00163196	0.00172399	0.00535208	0.03234676	0.00829445	0	0.00177255	0.00539869	0.00516076	0	0	0	0.00335897	0.00399465	0.00182146	0.00207052	0.01344307	0.00320513	0	0	0	0.00376989	0.02010333	0	0.00199461	0.00193517	0	0.00378967	0.00940026	0.00192315	0	0.01613312	0.00470566	0.01241825	0.0096073	0.00187649	0	0.02365418	0.0079952	0.00194518	0.006763	0.01059678	0.0042303
ASV_432	0.04654874	0.41397154	0.22357856	0.4189294	0.28187608	0.18689238	0.14930016	0.04213649	0.05140386	0.1367669	0.15138222	0.09617656	0.19111662	0.09077003	0.14443586	0.51331216	0.27868345	0.02898731	0.08663311	2.03685897	0.30942646	0.10443308	0.18776698	0.22430823	0.12464065	0.06968379	0.09374688	0.01935172	0.02077598	0.02842255	0.13348374	0.02692411	0.02028123	0.07375141	0.17175662	0.08485802	0.18974421	0.0525417	0.00500283	0.14980978	0.16390166	0.03695851	0.06312135	0.09890323	0.01903634
ASV_59	0.04322383	0.02587322	0.03753509	0.04999569	0.03032844	0.02695563	0.04561949	0.03202373	0.02127056	0.05398694	0.04128606	0.03543347	0.02654397	0.06891799	0.0251923	0.02396788	0.02732191	0.03933992	0.01344307	0.02724359	0.05157108	0.01278772	0.02816505	0.06408806	0.01608266	0.03201687	0.03191383	0.01548137	0.02596998	0.0416864	0.05264147	0.03846302	0.06309717	0.02074258	0.01411698	0.00413942	0.02401825	0.06192415	0.02001134	0.03351008	0.05596642	0.0252874	0.03606934	0.01412903	0.03172723
ASV_2077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1562	0.00498737	0.00184809	0.00489588	0.00517197	0	0.00179704	0	0.0084273	0.00177255	0	0.00172025	0	0.00707839	0.00168093	0.00167949	0	0	0.00207052	0	0.00160256	0.00184182	0.00426257	0	0	0	0.00376669	0.00598384	0.00387034	0	0.00189484	0.00188005	0	0	0	0.00941132	0.00413942	0.00240183	0	0.00333522	0	0.0019988	0	0	0.00529839	0.00211515
ASV_338	0.06982311	0.09610054	0.02121548	0.09999138	0.01605623	0.01617338	0.00414723	0.01179822	0.21625071	0.18175602	0.05160758	0.01687308	0.0035392	0.74465045	0.09069228	0.00998662	0.15300268	0.02277574	0.11501292	0.01121795	0.15839688	0.11508951	0.01173544	0.22807811	0.15881632	0.00753338	0.01196769	0.00580552	0.25450579	0.07579346	0.31020869	0.03653987	0.09464575	0.01382839	0.01646981	0.17799487	0.00240183	0.16325458	0.01000567	0.11235734	0.08594843	0.28788733	0.02705201	0.02119355	0.04441812
ASV_58	0.00831228	0.00369617	0	0.00172399	0.01427221	0	0	0	0.02304311	0.00179956	0	0.00674923	0.00884799	0.02185204	0.00503846	0	0	0.00414104	0	0	0	0.04049446	0.00469417	0.05654829	0.12061999	0	0.00398923	0.00387034	0.03635797	0.12695405	0.00940026	0.03846302	0	0.01152366	0	0	0	0	0	0.05716426	0	0.00194518	0	0.02295968	0
ASV_577	0	0	0	0	0.00178403	0	0	0	0.00177255	0.00539869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00225433	0.00176613	0
ASV_323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00184182	0	0	0	0	0	0	0	0	0.01136902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_29	0.00166246	0.00184809	0	0.16550297	0.00535208	0.00539113	0.00207361	0.00168546	0	0.00719826	0.00516076	0.00168731	0.0017696	0.00336185	0.00503846	0.00199732	0	0	0	0.00320513	0.0073673	0.00213129	0.00234709	0	0	0.00941673	0	0	0.00346266	0.00189484	0	0.0038463	0.00450694	0	0	0	0.00240183	0.00187649	0.00166761	0.00788473	0.01599041	0.03890369	0.00225433	0.00353226	0
ASV_295	0.00166246	0.00184809	0.00326392	0	0.00178403	0.00179704	0	0	0.01418037	0	0.00172025	0.00168731	0.0017696	0.00840463	0	0.00199732	0.00182146	0.01035261	0	0.00160256	0.00552547	0	0	0.00376989	0.00402067	0	0	0.00193517	0.00692533	0	0.00188005	0	0.00225347	0.00230473	0	0.00206971	0.00240183	0	0.00166761	0.00197118	0	0.00194518	0.00450867	0.00529839	0
ASV_88	0.00332491	0.00369617	0.00163196	0	0.00356805	0.00359408	0.00207361	0	0.00177255	0	0.00172025	0.00168731	0.0017696	0.00168093	0.00503846	0.00199732	0	0	0.00149367	0	0.00552547	0	0.00234709	0.00188494	0	0.00376669	0	0.00387034	0.00173133	0.00378967	0.00188005	0	0	0	0	0	0	0	0	0	0.0019988	0	0.00225433	0	0
ASV_541	0	0	0.00652784	0.00172399	0	0.00179704	0	0	0.00354509	0	0.00344051	0.00168731	0	0.00168093	0.00503846	0	0.00182146	0	0.00448102	0	0.00368365	0	0.01173544	0	0.00201033	0.00188335	0	0	0	0	0.00188005	0.00192315	0	0	0.00235283	0	0	0.00187649	0	0	0.0039976	0	0.00225433	0	0.00211515
ASV_471	0.13465886	0.10534097	0.3002807	0.03620378	0.06422493	0.25877406	0.09953344	0.42979218	0.09039989	0.10257518	0.12041768	0.08942733	0.1079455	0.03025668	0.18306406	0.03195718	0.08560864	0.0372694	0.23600054	0.01282051	0.10314215	0.30903666	0.50227667	0.04523863	0.12866132	0.02636684	0.02393537	0.02515723	0.33934106	0.02842255	0.10152284	0.01153891	0.03605553	0.04839936	0.11293586	0.11176422	0.03842921	0.0525417	0.0566988	0.03548126	0.12192684	0.05641036	0.17132938	0.38325003	0.16286645
ASV_5373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_128	1.03404708	0.34189614	0.34434363	0.27928627	0.1659144	0.31448236	0.41057543	0.54103251	0.4998582	0.15116342	0.15310248	0.19235312	0.29552292	0.50763981	0.28551275	0.7030579	0.36975647	0.50520736	0.06422799	0.33333333	0.36836483	0.29198636	0.15960193	0.40149287	0.22314698	0.26178503	0.25730528	0.20706338	0.50381759	0.16674562	0.40985148	0.38655333	0.25013521	0.22355897	0.38821703	0.16143721	0.19454786	0.15011916	0.42690858	0.3488991	0.52968219	0.65163687	0.61994184	0.43976616	0.43572063
ASV_911	0.00332491	0	0.00163196	0	0	0	0	0.00337092	0	0	0	0	0	0.00672371	0.00167949	0	0.00182146	0	0	0	0	0.00213129	0.00234709	0	0	0	0	0	0.00865666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_52	0.00664982	0.01293661	0.0244794	0.01723989	0.04103259	0.00898521	0.01244168	0.01348368	0.01063528	0.01619608	0.01032152	0.01349846	0.02477438	0.01344741	0.00671795	0.01198394	0.03278629	0.01449365	0.00298735	0.00641026	0.01105094	0.01918159	0	0.0131946	0.012062	0.0207168	0.01196769	0.00967586	0.00173133	0.01136902	0.01880053	0.0076926	0.01802776	0.00691419	0.01176415	0.01862737	0.01441095	0.01688841	0.00833806	0.01576945	0.01998801	0.00778074	0.01803467	0.01412903	0.01057574
ASV_556	0.00997473	0.00184809	0.00979176	0.00344798	0.01070415	0.00179704	0.00207361	0.00505638	0.00177255	0.00719826	0.00344051	0	0.0017696	0.00672371	0.00335897	0.00798929	0.00182146	0	0	0.00480769	0	0.00213129	0.00469417	0	0.00201033	0	0.00797846	0.0135462	0	0.00378967	0.00752021	0.00192315	0	0.01152366	0.00470566	0.00206971	0.00720548	0.00562947	0.03335223	0.00985591	0.0079952	0.00389037	0.00450867	0.00176613	0.0042303
ASV_802	0.00664982	0.00924044	0.0081598	0.00344798	0.0071361	0.01257929	0.00622084	0	0.00709019	0.00179956	0.00860126	0.00506192	0.0017696	0.00336185	0.00839743	0.01198394	0.01275022	0.00207052	0.06273432	0.01282051	0.01657642	0.00213129	0.00469417	0	0.006031	0.00941673	0.00797846	0.00387034	0.00173133	0.00757935	0.00564016	0.00192315	0.00450694	0.00230473	0.00470566	0.00206971	0	0.00375298	0.00333522	0	0.0039976	0.00389037	0.02028901	0.00176613	0
ASV_85	0.09974731	0.0868601	0.28396109	0.21722265	0.06600896	0.30549715	0.35666148	0.50900878	0.4165485	0.21414818	0.24427586	0.37964432	0.09024951	0.11262208	0.79775621	0.22569757	0.04735797	0.19877011	0.01194939	0.11858974	0.12708587	0.40494459	0.26991504	0.08482244	0.23118831	0.22223478	0.62630897	0.1780358	0.10561125	0.33728091	0.2462869	0.05961768	0.11267352	0.1313697	0.22822455	0.02276679	0.06004563	0.06755362	0.00667045	0.15375214	0.14991005	0.22953179	0.24797674	0.28787906	0.06979991
ASV_260	0.02493683	0.00369617	0.01305568	0.00344798	0	0.01257929	0	0.00168546	0.00177255	0	0	0.03374616	0.00530879	0	0.06549998	0.067909	0.02367899	0.03312835	0	0.00641026	0.00184182	0.0170503	0.01408252	0.00376989	0.02211366	0.00753338	0.01795153	0.06773101	0.02250731	0.00757935	0.04136116	0.07115658	0.01802776	0	0.0305868	0.08485802	0	0.43534556	0.05336357	0.02168299	0.0039976	0.02139703	0.07890169	0.0971371	0.04653327
ASV_3645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_273	0.00664982	0.0295694	0.00326392	0.02585984	0.00535208	0.00718817	0.01244168	0.00505638	0.04608622	0.01439652	0.01720253	0.0421827	0.01238719	0.01008556	0.04366666	0.00798929	0.02003606	0.00414104	0.01045572	0.01121795	0.00920912	0.00213129	0.00938835	0.01884943	0.01407233	0.01318342	0.01595692	0.03676826	0.03116397	0.02463288	0.00940026	0.00576945	0.01126735	0.00921893	0.00235283	0.01448795	0.00480365	0.00938245	0.02668179	0.00591354	0.0059964	0.00389037	0.00225433	0.00176613	0.01480604
ASV_93	0.26765527	0.31047865	0.28396109	0.16895095	0.14629012	0.26955631	0.25298082	0.84947161	0.31196824	0.48048372	0.20987081	0.11642426	0.35038046	0.29584307	0.60293574	0.18575109	1.36245241	0.07246827	0.37939327	0.13621795	0.14918776	0.60741688	1.15711402	0.18472442	0.2854673	0.07721717	0.62630897	0.31156265	1.15652972	0.15348176	0.31208874	0.08846494	0.0608437	0.14980755	0.17881511	0.82995281	0.26660262	0.09007149	0.07337491	0.09264552	0.25384769	0.61078799	0.16231204	1.35108882	0.09941199
ASV_663	0.15627078	0.04989836	0.06527841	0.10171537	0.05352077	0.16532787	0.08087092	0.36574472	0.0531764	0.05398694	0.04472657	0.05568117	0.18226863	0.09749374	0.11924356	0.10785547	0.0783228	0.05590409	0.01643042	0.06089744	0.06630567	0.04901961	0.05633009	0.03204403	0.07438233	0.14501761	0.04188691	0.51088534	0.07790994	0.06631928	0.20492574	0.25000962	0.16901028	0.06683722	0.10117171	0.07864889	0.14410952	0.09757745	0.29850248	0.28187893	0.08594843	0.07780739	0.3584391	0.36205648	0.14594526
ASV_853	0	0.00184809	0.00489588	0	0	0	0.00207361	0.00505638	0	0	0	0.00168731	0	0.00168093	0.00503846	0	0	0	0	0	0	0	0	0	0	0	0.00398923	0	0.00173133	0	0	0.00576945	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_275	0	0	0	0	0	0.00179704	0	0	0.00709019	0	0.00172025	0	0	0	0.00167949	0.00199732	0	0	0	0	0	0	0	0.00188494	0.00201033	0	0	0	0.00346266	0	0	0	0.00225347	0	0	0	0	0	0	0	0	0.00389037	0	0	0
ASV_4903	0.01329964	0.02032896	0.06364645	0.02585984	0.01427221	0.01797042	0.02073613	0.01179822	0	0.00359913	0.01376202	0.01687308	0.02300478	0.01849019	0.02855127	0.00998662	0.01092876	0.01035261	0.02688614	0.03205128	0.06998932	0.01491901	0.02347087	0.01696449	0.018093	0.0207168	0.03590306	0.00580552	0.00346266	0.00568451	0.01880053	0.00192315	0.01802776	0.01382839	0.03293963	0.06002152	0.03122373	0.04128277	0.01334089	0.00788473	0.05796522	0.03695851	0.04734101	0.02295968	0.00846059
ASV_12058	0.01994946	0.01848087	0.01305568	0.01034394	0.01427221	0.01797042	0.00207361	0.02022551	0.01418037	0.0809804	0.02236328	0.00337462	0.02654397	0.00840463	0.02351281	0.00599197	0.05464381	0	0.01643042	0.00480769	0.00368365	0.04688832	0.01408252	0.03204403	0.03216533	0.00188335	0.01196769	0.00967586	0.04847729	0.00568451	0.00376011	0.02884726	0.00450694	0.00921893	0.01411698	0.03104562	0.00720548	0.00562947	0	0.00985591	0.0039976	0.00389037	0.013526	0.14658872	0.00634545
ASV_460	0.00166246	0	0	0.00172399	0	0	0.00207361	0.00168546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00201033	0.00188335	0	0	0	0.00189484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00211515
ASV_254	0.01994946	0.02772131	0.01305568	0.01034394	0	0.01976746	0.00622084	0.01348368	0.06558423	0.1925534	0.01548227	0.01012385	0.05662715	0.01680927	0.0638205	0.00399465	0.04007213	0	0.05675962	0.00480769	0.00184182	0.02983802	0.08449514	0.01884943	0.06232033	0.00565004	0.00797846	0.00774069	0.0380893	0.00757935	0.00752021	0.01346206	0	0.03457097	0.00705849	0.24836493	0.00240183	0.00187649	0.00833806	0.02168299	0.01399161	0.11671108	0.00901734	0.16071775	0
ASV_473	0.00498737	0	0.00163196	0	0.00356805	0.02336155	0.00207361	0.00168546	0.00886273	0.00179956	0.00172025	0.00506192	0.01415679	0.00168093	0.00671795	0.00798929	0.00728584	0.00621157	0	0	0.00552547	0.00213129	0.00704126	0.00376989	0.00402067	0.00941673	0.00398923	0	0.00346266	0.00568451	0.00564016	0	0.00225347	0.00691419	0.00235283	0	0	0.00187649	0.00333522	0.00197118	0.0039976	0.02139703	0.013526	0.01589516	0.00211515
ASV_3384	0.01994946	0.01848087	0.00489588	0.00689596	0.01070415	0.00359408	0.00829445	0.01179822	0.00177255	0.01259695	0.01032152	0.00674923	0.03008317	0.00672371	0.02015384	0.0339545	0.01275022	0.01035261	0.00149367	0.00801282	0.0073673	0.02557545	0.00469417	0.00565483	0.006031	0.01130007	0.00199461	0.0270924	0.00692533	0.01894837	0.035721	0.03077041	0.04506941	0.01613312	0.00941132	0.00206971	0.02161643	0.02251787	0.07671014	0.01576945	0.01798921	0.02917777	0.02479767	0.01942742	0.05287872
ASV_1679	0.02161192	0.00184809	0.00652784	0.00344798	0.01784026	0.03773788	0.01036807	0.02696735	0.01063528	0.01439652	0.00344051	0.00843654	0.05662715	0.10421744	0.00671795	0.01398127	0.01639314	0	0	0	0.00184182	0.01918159	0.03285922	0.01130966	0.02211366	0	0	0.02322206	0.01904465	0.00757935	0.00376011	0	0.00225347	0	0	0.15729779	0	0.00375298	0.00500283	0.00197118	0.0039976	0.01361629	0.006763	0.01766129	0.00846059
ASV_1019	0	0	0	0	0	0	0	0	0.00177255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2690	0.02327437	0.00554426	0.00652784	0	0.00178403	0.03054972	0.05598756	0.00337092	0	0.01979521	0.01720253	0.00506192	0.0017696	0	0.01679487	0.00599197	0	0.00414104	0.00149367	0.02884615	0.0073673	0	0.00469417	0.00188494	0.00201033	0.00188335	0.00598384	0	0.005194	0.00189484	0.00752021	0.06731028	0.00676041	0.01843785	0.00235283	0.00206971	0.03362556	0.01313543	0.1867725	0.06504898	0.01399161	0.01750666	0.01578034	0.0123629	0.13325437
ASV_1968	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00168093	0	0	0.00182146	0	0	0	0	0.00213129	0	0	0.00201033	0	0	0	0.00173133	0	0.00188005	0.00192315	0	0	0	0	0	0	0	0.00394236	0	0	0	0.00353226	0
ASV_130	0.08312276	0.0868601	0.18441152	0.08792345	0.04638467	0.05211422	0.07672369	0.0707893	0.18966251	0.10257518	0.07053035	0.10292579	0.12918068	0.09245096	0.0386282	0.09187688	0.16757436	0.05176305	0.01493674	0.03685897	0.09761668	0.04475703	0.04224757	0.06974289	0.08644432	0.0207168	0.08975765	0.03870343	0.11773057	0.06252961	0.12032337	0.13654371	0.0608437	0.0507041	0.18116795	0.16143721	0.06484929	0.20078437	0.16676116	0.0946167	0.09794124	0.20424439	0.04283235	0.0724113	0.10575743
ASV_3412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2276	0.00166246	0.00184809	0.00652784	0.00172399	0.01784026	0.00718817	0.00414723	0.03202373	0.00886273	0.00179956	0.01376202	0.01856039	0.00530879	0.01176649	0.00503846	0.00998662	0.00364292	0	0.00448102	0.00160256	0.00184182	0.02131287	0.03520631	0.00753977	0.00201033	0.00565004	0.00398923	0.00193517	0.01211932	0.00568451	0.00752021	0.00192315	0.01126735	0.00230473	0	0.04760328	0	0.00375298	0.00166761	0.00394236	0.0019988	0.02723259	0.006763	0.00529839	0.00211515
ASV_2164	0.0332491	0.00924044	0.0081598	0.02585984	0.02319234	0	0.00829445	0.06741838	0.00177255	0.00359913	0	0	0.42470359	0.00168093	0.03358973	0.00998662	0.07467988	0.01035261	0.00298735	0.00320513	0.00184182	0.01278772	0.04224757	0.00188494	0.00201033	0.00376669	0	0.05418481	0.01038799	0.00378967	0.01880053	0.00192315	0	0.01152366	0.00470566	0	0.0192146	0.00750596	0.00500283	0.01576945	0.0059964	0.00778074	0	0.03885484	0.01057574
ASV_312	0.00831228	0.00739235	0.00652784	0.01379191	0	0.00179704	0.00207361	0.01011276	0.00531764	0.00359913	0.00860126	0.00168731	0.00530879	0.01176649	0	0	0.00182146	0.01242313	0.00149367	0.00480769	0.00184182	0.00639386	0.00704126	0.01507954	0	0.02825018	0	0.01741655	0.00346266	0.0208432	0	0.0076926	0	0.00230473	0	0	0.00480365	0.00562947	0.00833806	0.00197118	0.0019988	0.00583555	0	0	0.02115149
