NipWtLsR01	NipWtLsR02	NipWtLsR03	NipWtLsR04	NipWtLsR05	NipWtLsR06	NipWtLsR07	NipWtLsR08	NipWtLsR09	NipWtLsR10	NipWtLsR11	NipWtLsR12	NipWtLsR13	NipWtLsR14	NipWtLsR15	DjWtLsR01	DjWtLsR02	DjWtLsR03	DjWtLsR04	DjWtLsR05	DjWtLsR06	DjWtLsR07	DjWtLsR08	DjWtLsR09	DjWtLsR10	DjWtLsR11	DjWtLsR12	DjWtLsR13	DjWtLsR14	DjWtLsR15	Zh11WtLsR01	Zh11WtLsR02	Zh11WtLsR03	Zh11WtLsR04	Zh11WtLsR05	Zh11WtLsR06	Zh11WtLsR07	Zh11WtLsR08	Zh11WtLsR09	Zh11WtLsR10	Zh11WtLsR11	Zh11WtLsR12	Zh11WtLsR13	Zh11WtLsR14	Zh11WtLsR15
ASV_492	0	0	0	0.00172399	0	0	0.00207361	0.00168546	0	0	0	0	0	0	0.00167949	0	0.00546438	0	0	0.00160256	0.00184182	0	0	0	0.00201033	0.00188335	0	0.00193517	0.00173133	0	0.00376011	0	0	0.00230473	0	0	0	0	0.00166761	0	0	0.00194518	0.00225433	0	0
ASV_38	1.29837744	1.97560525	2.66335923	1.96189984	2.46730773	2.72611282	1.04510109	0.19382785	0.29956041	0.21414818	1.76669935	2.45503324	1.71827995	0.79003547	1.1151792	0.84087323	1.96899874	0.78265731	1.44587671	2.22115385	1.00563598	0.4028133	1.35426935	0.75397723	0.48851095	0.51038665	3.06771716	0.36381229	0.41551966	0.07958314	1.67700696	0.26539482	0.57914188	1.03021503	1.18112089	2.35118801	0.83583523	0.83316132	0.27682353	0.16360805	2.2086748	0.78196425	2.0649699	0.91485491	0.6556961
ASV_334	0.01662455	0.03511366	0.00652784	0.88440652	0.12309778	0.03234676	0.02280975	0.00337092	0	0.00179956	0.00172025	0.03880809	0.00530879	0.06387521	0.02351281	0.00399465	0.04917943	0.01035261	6.84102825	0.04807692	0.02762736	0.00213129	0.03285922	0.00565483	0.01608266	0.00376669	0.00398923	0	0	0.00378967	0.00188005	0.00192315	0.00676041	0	0.00470566	0	0	0.09382447	0.00166761	0.00394236	0	0	0	0	0.0042303
ASV_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_45	0.01662455	0.11088523	0.12566094	1.12576502	0.16769843	0.23181843	0.28823224	0.062362	0.05140386	0.02339434	0.19610879	0.1046131	0.1008671	0.03025668	0.35269222	0.05792238	0.09107302	0.03312835	0.16729152	0.77403846	0.27995727	0.03196931	0.08449514	0.03581392	0.28948797	0.04708364	0.05385459	0.0270924	0.03289531	0.08716248	0.07708216	0.00576945	0.34027402	0.094494	0.07529057	0.09520656	0.03362556	0.01125894	0.01667612	0.02956772	0.07995203	0.06613628	0.06312135	0.18014518	0.13748467
ASV_61	0.20946934	0.22731473	0.90247405	1.07059736	0.84206019	0.28752673	0.53706584	0.96071194	0.38818775	1.84815275	0.33888975	0.38639355	0.40877721	0.6017717	0.53407679	0.23568418	0.47722264	0.30229621	0.06273432	0.62820513	0.65200575	0.45183291	0.42716988	0.28085652	0.82423658	0.63468746	0.25531066	1.35462022	0.30817708	0.51539555	1.2784358	0.30962729	0.74139174	0.87579801	0.31527928	0.42429009	0.25699532	0.21016682	0.41190008	1.40150992	0.25184889	0.25092883	0.35618477	0.1995726	0.46110242
ASV_2	2.38063572	4.89927925	1.86206671	0.73786743	2.76524004	1.86712671	3.41316744	0.74328766	2.37166761	1.65919847	6.64533554	3.04727837	3.39939834	1.97340774	1.21930738	4.91741067	1.51727655	2.28792679	0.19119031	2.06891026	0.70541865	2.39769821	3.91259447	3.18932368	1.23635486	2.19221425	3.68006383	2.32414127	3.05753216	3.53765988	3.36905433	3.17319897	3.67090319	0.79974187	2.45164933	0.32494412	1.59241023	2.95547091	2.04282427	1.93767125	1.45912453	1.18656266	1.37514371	0.44506455	4.10973391
ASV_6	0.24936827	0.1016448	0.10770938	0.5809844	0.13736999	0.1024314	0.09538621	0.45507408	0.08685479	0.16016124	0.08601263	0.07255425	0.05308795	0.22524415	0.06717947	0.07390097	0.09107302	0.04348096	0.01792409	0.14262821	0.04788743	0.58610401	0.05398301	0.01507954	0.08242366	0.03390022	0.07380074	0.15674891	0.11080524	0.06252961	0.04888137	0.06923343	0.07661799	0.1751596	0.04705661	0.00620912	0.13690405	0.05441819	0.16342594	0.26216712	0.05996402	0.28788733	0.05410401	0.03355645	0.01480604
ASV_32	0.05153611	0.10718906	0.04895881	0.02241186	0.03746454	0.11680773	0.01036807	0.18540055	0.22865854	0.0809804	0.06364934	0.04724463	0.04954875	0.04034224	0.0638205	0.04793577	0.06375112	0.0186347	0.09260781	0.02564103	0.03683648	0.08738278	0.02581796	0.04335369	0.04623766	0.02448349	0.06183305	0.15481374	0.10561125	0.06821412	0.02632074	0.04807877	0.01126735	0.0437899	0.0235283	0.23594668	0.02401825	0.04315926	0.08338058	0.02365418	0.03597841	0.09920442	0.06763002	0.26845163	0.03172723
ASV_236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_5535	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00168093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00211515
ASV_11	1.72064104	2.77952319	2.39408578	0.50857685	1.16853692	1.25253832	1.55520995	0.58148354	1.54034317	1.32447948	2.94851284	1.57088381	1.68642718	1.22707636	1.56192268	2.5066411	1.66299339	1.27544154	0.2091144	0.84455128	0.59859285	1.61977835	0.51401211	1.69644877	0.65335826	0.47083639	1.49396629	0.87856797	1.71401859	0.95499763	1.64128596	1.58083003	1.37461691	0.36645233	1.05171521	0.49052074	0.68452024	0.63612993	0.72374345	1.03684138	0.73755747	0.84031979	0.86791857	0.8353791	1.96074284
ASV_22	0.00664982	0.04620218	0.01305568	0.00861995	0.01605623	0.00179704	0.01036807	0.00505638	0.00177255	0.01619608	0	0	0.01061759	0	0.02015384	0.00599197	0.00182146	0.00207052	0	0.00320513	0.0073673	0.00213129	0.00704126	0.00376989	0.02010333	0.00188335	0.00199461	0	0.00173133	0.00189484	0.00376011	0.0038463	0.00225347	0.00230473	0.00470566	0.00413942	0	0.00750596	0.01000567	0.02168299	0.0059964	0.01167111	0.00450867	0.00883065	0.02115149
ASV_78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_371	0	0	0	0	0	0	0	0	0	0	0	0.021935	0	0	0	0	0	0	0	0	0.00368365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00187649	0	0	0	0	0	0	0
ASV_89	0.42392605	0.31602292	0.20889092	0.13619516	0.14272207	0.19587759	0.12856402	0.30506818	0.41832104	0.3041264	0.19610879	0.10630041	0.36453725	0.44208368	0.29223069	0.30559051	0.58651026	0.16357124	0.09260781	0.05288462	0.11050945	0.39215686	0.3309393	0.27708663	0.35180829	0.03766691	0.25132143	0.24576681	1.31754359	0.15158693	0.15792442	0.05000192	0.10591311	0.19820692	0.17646228	0.1593675	0.05284016	0.10133043	0.06170163	0.08278962	0.15990406	0.3559688	0.12849704	0.76650006	0.04230297
