Bulksoil	DJ-WT	DJ-jmj703	ZH11-WT	ZH11-sdg714	Nip-WT	Nip-dcl3a-1	Nip-dcl3a-3	tax
0.3395	16.526	21.0133333333333	15.4266666666667	20.3533333333333	17.9066666666667	20.32	18.42	Comamonadaceae
1.2045	10.4126666666667	12.6106666666667	13.1573333333333	10.17	12.384	13.794	15.458	Cystobacterineae
30.6	9.71	12.5106666666667	8.54066666666667	10.3773333333333	8.54866666666667	8.746	10.1886666666667	Unassigned
0.276833333333333	6.6174	9.802	5.41466666666667	10.812	6.87733333333333	8.89533333333333	11.0906666666667	Gallionellaceae
0.0342833333333333	7.75333333333333	10.498	5.79666666666667	4.705	9.774	11.5146666666667	12.9313333333333	Sterolibacteriaceae
0.311	2.34033333333333	5.37866666666667	2.52713333333333	12.5476666666667	2.32746666666667	6.22866666666667	3.562	Methylococcaceae
0.0031255	5.73406666666667	0.956133333333333	6.87466666666667	1.0135	5.73666666666667	1.708	1.08773333333333	Aeromonadaceae
15.1833333333333	1.16313333333333	1.14566666666667	1.61586666666667	1.23256666666667	0.549066666666667	0.923333333333333	0.814866666666667	Clostridiaceae 1
3.91666666666667	2.85753333333333	0.71946	1.7918	1.39593333333333	2.04012	1.49911333333333	0.750666666666667	Bradyrhizobiaceae
0.4075	1.72953333333333	1.98	2.25866666666667	1.3565	1.4298	1.69373333333333	1.82	Spirochaetaceae
0.0280216666666667	1.7712	1.9248	1.76273333333333	0.794866666666667	1.70166666666667	1.9636	1.42186666666667	Azonexaceae
0.0381333333333333	0.718866666666667	1.41873333333333	0.935333333333333	2.56733333333333	0.630133333333333	1.4616	0.999133333333333	Methylophilaceae
0.00163166666666667	1.87706666666667	0.6906	3.51573333333333	0.657763333333333	1.85893333333333	1.33073333333333	0.565733333333333	Chromobacteriaceae
0.685666666666667	1.64606666666667	0.357126666666667	2.1008	0.818896666666667	2.31406666666667	1.63089333333333	0.661386666666667	Paenibacillaceae 1
46.9423068333333	29.13638	19.0074053333333	28.296474	21.205383	25.9175446666667	18.3102213333333	20.1975973333333	Low abundance
